rno,Be_Effective,Immediate_Relief,Fix_Root_Cause,No_Side_Effect,Right_Price,Not_Too_Strong,Good_Brand,Easy_To_Find,Reduce_Gas,Protect_Stomach,Convenient_Dose,Long_Term_Effective,Good_Taste,Doc_Reccomend,Sustained_Relief,Flavours,Multiple_Forms,q14a1_1,edresp,occresp,medied,qlfn_2,qlfn_1,qlfn_3,cook_1,cook_2,cook_3,eatfreq,travel,daystrav,ailment1,ailment2,ailment3,ailment4,occcwe,edcwe,sec,mhi,ageresp,sexresp,edhw,workhw,lang_1,lang_2,anydr,chemist,family,expmedi,moub,cluster
85,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,2,4,68,3,9, , ,4, , ,8,2, ,99, , , ,57,6,B1,3,40,2,4,3,5, ,1,3,1,200,3,1
86,5,5,5,5,5,5,5,5,5,3,5,5,1,5,5,2,2,1,6,66,3,30, , ,4, , ,8,2, ,4, , , ,66,6,A2,3,62,1,2,3,5, ,2,3,1,50,1,3
87,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,4,90,3,2, , ,4, , ,4,2, ,99, , , ,57,6,B1,3,32,2,4,3,5, ,2,3,1,20,12,1
88,5,5,5,5,5,5,5,5,5,5,5,5,4,4,5,3,3,1,3,68,3,4, , ,4, , ,8,2, ,99, , , ,65,3,C,3,37,2,3,3,5, ,2,3,2,50,1,3
89,5,5,5,5,5,5,5,5,5,5,5,5,5,3,5,5,2,2,5,53,1,9, , ,4, , ,7,2, ,99, , , ,53,6,A2,9, ,1,5,1,1,2,2,3,1,300,6,1
90,5,5,5,5,5,5,5,5,5,5,5,5,2,2,5,2,2,2,4,57,3,6, , ,4, , ,8,2, ,1,2, , ,65,4,C,4,75,1,3,3,5, ,2,3,3, ,6,3
91,5,5,5,4,4,4,5,5,4,5,5,5,4,5,5,4,4,13,3,70,3,7, , ,1,4, ,8,2, ,4, , , ,50,6,B2,6,62,2,3,3,5, ,2,3,3,500,12,1
92,5,5,5,5,5,5,3,5,5,5,5,5,5,3,5,5,5,1,6,70,3,30, , ,4, , ,2,2, ,99, , , ,54,5,A2,5,20,2,6,3,5, ,2,3,1,200,2,0
93,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,1,5,2,6,70,3,30, , ,4, , ,8,2, ,4, , , ,66,6,A2,5,20,2,6,1,5, ,2,3,2,50,12,3
94,5,5,5,5,5,3,5,5,5,5,3,5,5,5,5,5,1,12,6,68,3,30, , ,4, , ,2,2, ,99, , , ,67,4,B1,5,22,2,6,3,5, ,2,3,1,3000,12,1
