id,month,gender,age_band,Income,Checking_account,Churn,censor
328,5,M,60-64,E,N,0,1
329,8,F,25-29,H,Y,0,1
330,8,M,00-20,I,Y,0,1
331,5,M,00-20,U,Y,0,1
332,11,M,00-20,U,Y,1,0
333,33,M,35-39,D,Y,0,1
334,19,F,55-59,G,N,0,1
335,4,F,60-64,F,N,0,1
336,6,M,40-44,U,N,0,1
337,29,F,45-49,I,Y,0,1
338,2,F,60-64,U,N,1,0
339,24,F,45-49,F,N,0,1
340,4,M,45-49,U,N,1,0
341,15,M,55-59,H,N,0,1
342,30,F,60-64,H,Y,0,1
343,17,M,40-44,U,N,0,1
344,39,F,45-49,I,Y,0,1
345,29,M,25-29,F,Y,0,1
346,52,F,55-59,I,Y,0,1
347,30,M,55-59,G,Y,0,1
348,1,M,55-59,G,N,0,1
349,37,F,50-54,H,Y,0,1
350,22,M,25-29,I,Y,0,1
351,10,M,25-29,F,Y,0,1
352,30,F,25-29,F,Y,0,1
353,22,M,60-64,G,Y,0,1
354,21,M,55-59,U,Y,0,1
355,41,F,45-49,C,Y,0,1
356,11,M,21-24,G,Y,0,1
357,14,M,45-49,B,N,0,1
358,27,M,60-64,I,Y,0,1
359,60,F,50-54,I,Y,0,1
360,31,F,35-39,F,Y,0,1
361,44,F,45-49,H,Y,0,1
362,50,M,30-34,F,Y,0,1
363,22,M,35-39,U,Y,0,1
364,27,M,50-54,G,Y,0,1
365,26,M,21-24,F,Y,0,1
366,24,F,35-39,F,Y,0,1
367,41,M,60-64,E,N,0,1
368,27,F,55-59,I,Y,0,1
369,23,F,25-29,F,Y,0,1
370,17,M,60-64,I,N,0,1
371,30,M,50-54,H,N,0,1
372,14,M,40-44,G,Y,0,1
373,47,F,40-44,U,Y,0,1
374,11,F,55-59,E,N,0,1
375,43,M,30-34,H,Y,0,1
376,27,M,25-29,G,Y,0,1
377,16,F,00-20,G,Y,0,1
378,25,M,25-29,F,Y,0,1
379,6,F,35-39,H,Y,0,1
380,35,F,25-29,E,Y,0,1
381,22,M,25-29,I,Y,0,1
382,27,M,60-64,D,Y,0,1
383,6,F,00-20,F,Y,0,1
384,31,F,45-49,F,N,0,1
385,13,M,30-34,F,Y,0,1
386,46,M,55-59,H,Y,0,1
387,30,M,60-64,F,Y,0,1
388,2,M,50-54,U,Y,0,1
389,34,M,45-49,H,Y,0,1
390,54,M,30-34,G,Y,0,1
391,20,F,55-59,U,Y,0,1
392,21,M,25-29,U,Y,0,1
393,23,M,45-49,F,N,0,1
394,41,M,40-44,H,N,0,1
395,24,M,30-34,C,Y,0,1
396,30,F,21-24,B,Y,0,1
397,11,M,30-34,C,Y,0,1
398,30,F,45-49,H,Y,0,1
399,3,F,60-64,I,Y,0,1
400,27,F,40-44,I,Y,0,1
401,40,M,25-29,G,Y,0,1
402,9,M,35-39,U,Y,0,1
403,6,F,30-34,G,Y,0,1
404,22,F,60-64,G,Y,0,1
405,28,F,65+,F,Y,0,1
406,48,M,30-34,I,Y,0,1
407,53,M,60-64,G,Y,0,1
408,9,M,21-24,U,Y,1,0
409,2,M,55-59,I,N,0,1
410,31,F,55-59,G,N,0,1
411,3,F,60-64,F,Y,0,1
412,18,M,40-44,U,Y,0,1
413,7,F,25-29,U,Y,0,1
414,3,F,55-59,I,N,0,1
415,11,M,00-20,U,Y,0,1
416,32,F,60-64,A,Y,0,1
417,22,F,50-54,I,Y,0,1
418,4,M,50-54,H,N,0,1
419,8,F,55-59,H,Y,0,1
420,60,M,65+,B,Y,1,0
421,31,F,25-29,U,Y,0,1
422,56,M,25-29,I,Y,0,1
423,26,M,65+,U,Y,0,1
424,24,M,25-29,G,Y,0,1
425,24,M,40-44,I,Y,0,1
426,12,F,00-20,I,Y,0,1
427,39,F,55-59,I,N,0,1
428,3,M,60-64,H,N,0,1
429,27,F,45-49,H,Y,0,1
430,31,M,35-39,D,N,0,1
431,51,F,45-49,G,Y,0,1
432,33,F,60-64,G,Y,0,1
433,33,M,65+,G,Y,0,1
434,9,F,35-39,F,N,0,1
435,24,M,25-29,F,Y,0,1
436,45,F,50-54,C,N,0,1
437,20,M,40-44,D,N,0,1
438,13,F,60-64,I,N,0,1
439,14,M,25-29,F,Y,0,1
440,42,M,60-64,I,Y,0,1
441,15,M,60-64,F,N,0,1
442,31,F,45-49,U,Y,0,1
443,12,F,40-44,G,N,0,1
444,21,F,21-24,U,Y,0,1
445,15,F,35-39,F,Y,0,1
446,36,F,60-64,D,Y,0,1
447,11,F,40-44,U,Y,0,1
448,29,F,40-44,E,Y,0,1
449,49,M,25-29,I,Y,0,1
450,20,F,00-20,U,Y,0,1
451,34,F,30-34,F,N,0,1
452,4,F,55-59,F,N,0,1
453,18,M,60-64,C,Y,0,1
454,9,M,40-44,H,Y,0,1
455,20,F,25-29,G,N,0,1
456,39,M,40-44,C,Y,0,1
457,52,M,55-59,F,Y,0,1
458,19,F,30-34,F,Y,0,1
459,5,M,40-44,F,N,0,1
460,57,M,50-54,G,Y,0,1
461,37,F,21-24,F,Y,0,1
462,9,F,55-59,F,N,0,1
463,57,M,60-64,F,Y,0,1
464,8,F,21-24,U,Y,0,1
465,31,M,40-44,D,N,0,1
466,33,F,50-54,E,Y,0,1
467,20,M,40-44,U,Y,0,1
468,16,F,55-59,I,N,0,1
469,36,M,21-24,D,Y,0,1
470,2,M,45-49,F,Y,0,1
471,4,M,50-54,I,N,0,1
472,2,F,60-64,U,N,0,1
473,39,F,55-59,C,Y,0,1
474,10,F,60-64,F,N,0,1
475,6,M,21-24,G,Y,0,1
476,33,F,45-49,G,N,0,1
477,44,M,50-54,U,N,0,1
478,46,M,50-54,G,Y,0,1
479,17,F,55-59,F,N,0,1
480,4,F,45-49,D,N,0,1
481,11,M,50-54,E,N,0,1
482,25,M,50-54,A,N,0,1
483,12,M,45-49,I,N,0,1
484,1,M,50-54,U,N,0,1
485,46,M,25-29,I,Y,0,1
486,29,F,50-54,F,Y,0,1
487,28,F,65+,F,N,0,1
488,48,F,60-64,I,Y,0,1
489,58,F,60-64,F,Y,0,1
490,50,M,45-49,H,Y,0,1
491,4,F,21-24,H,Y,0,1
492,36,M,55-59,G,Y,0,1
493,55,M,60-64,F,Y,0,1
494,25,F,30-34,G,Y,0,1
495,38,M,40-44,F,N,0,1
496,8,M,21-24,F,Y,0,1
497,31,F,25-29,U,Y,0,1
498,43,F,65+,F,Y,0,1
499,30,M,60-64,G,Y,0,1
500,26,F,30-34,D,N,0,1
501,21,F,55-59,F,Y,0,1
502,12,M,55-59,U,Y,0,1
503,30,F,60-64,I,Y,0,1
504,30,F,21-24,I,Y,0,1
505,36,M,55-59,I,N,0,1
506,28,M,45-49,D,N,0,1
507,18,F,60-64,I,N,0,1
508,24,F,60-64,H,N,0,1
509,41,M,25-29,F,Y,0,1
510,9,F,50-54,I,Y,0,1
511,30,M,50-54,F,Y,0,1
512,24,F,40-44,I,Y,0,1
513,6,F,45-49,I,Y,0,1
514,49,M,30-34,G,Y,0,1
515,27,M,45-49,F,Y,0,1
516,49,F,50-54,I,Y,0,1
517,31,F,45-49,I,Y,0,1
518,50,M,45-49,G,Y,0,1
519,4,F,55-59,U,N,1,0
520,44,M,55-59,G,Y,0,1
521,50,M,21-24,H,Y,0,1
522,23,M,25-29,F,Y,0,1
523,19,F,60-64,I,Y,0,1
524,6,F,21-24,U,Y,0,1
525,39,F,45-49,A,Y,0,1
526,26,F,55-59,U,N,0,1
527,15,M,25-29,H,Y,0,1
528,2,M,40-44,U,N,0,1
529,15,F,50-54,U,Y,0,1
530,22,M,60-64,F,Y,0,1
531,9,M,45-49,G,N,0,1
532,32,M,55-59,B,Y,0,1
533,3,M,55-59,U,N,0,1
534,41,F,55-59,F,Y,0,1
535,41,M,40-44,H,N,0,1
536,47,F,45-49,E,Y,0,1
537,1,M,25-29,U,Y,0,1
538,48,M,45-49,G,Y,0,1
539,40,M,25-29,H,Y,0,1
540,20,F,60-64,H,N,0,1
541,10,F,40-44,U,Y,0,1
542,23,F,21-24,U,Y,0,1
543,30,M,30-34,F,Y,0,1
544,18,M,55-59,I,Y,0,1
545,42,F,60-64,D,Y,0,1
546,13,F,21-24,F,Y,0,1
547,45,F,55-59,G,Y,0,1
548,50,M,55-59,G,Y,0,1
549,13,M,21-24,H,Y,0,1
550,7,F,50-54,I,Y,0,1
551,20,M,60-64,I,Y,0,1
552,27,F,21-24,U,Y,0,1
553,32,M,50-54,I,N,0,1
